"Year","Pop","Age"
1998,597709,0
1999,604722.1,0
2000,611735.2,0
2001,618748.3,0
2002,625761.4,0
2003,632774.5,0
2004,639787.6,0
2005,646800.7,0
2006,653813.8,0
2007,660826.9,0
2008,667840,0
2009,664839.4,0
2010,661838.8,0
2011,658838.2,0
2012,655837.6,0
2013,652837,0
2014,649836.4,0
2015,646835.8,0
2016,643835.2,0
2017,640834.6,0
2018,637834,0
1998,612543,1
1999,615585.5,1
2000,618628,1
2001,621670.5,1
2002,624713,1
2003,627755.5,1
2004,630798,1
2005,633840.5,1
2006,636883,1
2007,639925.5,1
2008,642968,1
2009,644660.2,1
2010,646352.4,1
2011,648044.6,1
2012,649736.8,1
2013,651429,1
2014,653121.2,1
2015,654813.4,1
2016,656505.6,1
2017,658197.8,1
2018,659890,1
1998,603318,2
1999,605789.2,2
2000,608260.4,2
2001,610731.6,2
2002,613202.8,2
2003,615674,2
2004,618145.2,2
2005,620616.4,2
2006,623087.6,2
2007,625558.8,2
2008,628030,2
2009,633330.2,2
2010,638630.4,2
2011,643930.6,2
2012,649230.8,2
2013,654531,2
2014,659831.2,2
2015,665131.4,2
2016,670431.6,2
2017,675731.8,2
2018,681032,2
1998,610147,3
1999,609843.2,3
2000,609539.4,3
2001,609235.6,3
2002,608931.8,3
2003,608628,3
2004,608324.2,3
2005,608020.4,3
2006,607716.6,3
2007,607412.8,3
2008,607109,3
2009,614473.9,3
2010,621838.8,3
2011,629203.7,3
2012,636568.6,3
2013,643933.5,3
2014,651298.4,3
2015,658663.3,3
2016,666028.2,3
2017,673393.1,3
2018,680758,3
1998,627373,4
1999,624311.5,4
2000,621250,4
2001,618188.5,4
2002,615127,4
2003,612065.5,4
2004,609004,4
2005,605942.5,4
2006,602881,4
2007,599819.5,4
2008,596758,4
2009,605803.5,4
2010,614849,4
2011,623894.5,4
2012,632940,4
2013,641985.5,4
2014,651031,4
2015,660076.5,4
2016,669122,4
2017,678167.5,4
2018,687213,4
1998,630243,5
1999,624961.6,5
2000,619680.2,5
2001,614398.8,5
2002,609117.4,5
2003,603836,5
2004,598554.6,5
2005,593273.2,5
2006,587991.8,5
2007,582710.4,5
2008,577429,5
2009,590025.2,5
2010,602621.4,5
2011,615217.6,5
2012,627813.8,5
2013,640410,5
2014,653006.2,5
2015,665602.4,5
2016,678198.6,5
2017,690794.8,5
2018,703391,5
1998,651378,6
1999,642674,6
2000,633970,6
2001,625266,6
2002,616562,6
2003,607858,6
2004,599154,6
2005,590450,6
2006,581746,6
2007,573042,6
2008,564338,6
2009,580425.2,6
2010,596512.4,6
2011,612599.6,6
2012,628686.8,6
2013,644774,6
2014,660861.2,6
2015,676948.4,6
2016,693035.6,6
2017,709122.8,6
2018,725210,6
1998,659327,7
1999,650799.9,7
2000,642272.8,7
2001,633745.7,7
2002,625218.6,7
2003,616691.5,7
2004,608164.4,7
2005,599637.3,7
2006,591110.2,7
2007,582583.1,7
2008,574056,7
2009,587667.8,7
2010,601279.6,7
2011,614891.4,7
2012,628503.2,7
2013,642115,7
2014,655726.8,7
2015,669338.6,7
2016,682950.4,7
2017,696562.2,7
2018,710174,7
1998,648017,8
1999,642131.1,8
2000,636245.2,8
2001,630359.3,8
2002,624473.4,8
2003,618587.5,8
2004,612701.6,8
2005,606815.7,8
2006,600929.8,8
2007,595043.9,8
2008,589158,8
2009,600019.9,8
2010,610881.8,8
2011,621743.7,8
2012,632605.6,8
2013,643467.5,8
2014,654329.4,8
2015,665191.3,8
2016,676053.2,8
2017,686915.1,8
2018,697777,8
1998,641638,9
1999,638181.5,9
2000,634725,9
2001,631268.5,9
2002,627812,9
2003,624355.5,9
2004,620899,9
2005,617442.5,9
2006,613986,9
2007,610529.5,9
2008,607073,9
2009,615097.1,9
2010,623121.2,9
2011,631145.3,9
2012,639169.4,9
2013,647193.5,9
2014,655217.6,9
2015,663241.7,9
2016,671265.8,9
2017,679289.9,9
2018,687314,9
1998,648055,10
1999,644774.6,10
2000,641494.2,10
2001,638213.8,10
2002,634933.4,10
2003,631653,10
2004,628372.6,10
2005,625092.2,10
2006,621811.8,10
2007,618531.4,10
2008,615251,10
2009,623033,10
2010,630815,10
2011,638597,10
2012,646379,10
2013,654161,10
2014,661943,10
2015,669725,10
2016,677507,10
2017,685289,10
2018,693071,10
1998,631246,11
1999,631347.9,11
2000,631449.8,11
2001,631551.7,11
2002,631653.6,11
2003,631755.5,11
2004,631857.4,11
2005,631959.3,11
2006,632061.2,11
2007,632163.1,11
2008,632265,11
2009,636149.3,11
2010,640033.6,11
2011,643917.9,11
2012,647802.2,11
2013,651686.5,11
2014,655570.8,11
2015,659455.1,11
2016,663339.4,11
2017,667223.7,11
2018,671108,11
1998,621482,12
1999,622324.1,12
2000,623166.2,12
2001,624008.3,12
2002,624850.4,12
2003,625692.5,12
2004,626534.6,12
2005,627376.7,12
2006,628218.8,12
2007,629060.9,12
2008,629903,12
2009,632724,12
2010,635545,12
2011,638366,12
2012,641187,12
2013,644008,12
2014,646829,12
2015,649650,12
2016,652471,12
2017,655292,12
2018,658113,12
1998,624705,13
1999,625080.8,13
2000,625456.6,13
2001,625832.4,13
2002,626208.2,13
2003,626584,13
2004,626959.8,13
2005,627335.6,13
2006,627711.4,13
2007,628087.2,13
2008,628463,13
2009,628712.6,13
2010,628962.2,13
2011,629211.8,13
2012,629461.4,13
2013,629711,13
2014,629960.6,13
2015,630210.2,13
2016,630459.8,13
2017,630709.4,13
2018,630959,13
1998,599914,14
1999,604408.6,14
2000,608903.2,14
2001,613397.8,14
2002,617892.4,14
2003,622387,14
2004,626881.6,14
2005,631376.2,14
2006,635870.8,14
2007,640365.4,14
2008,644860,14
2009,642460.8,14
2010,640061.6,14
2011,637662.4,14
2012,635263.2,14
2013,632864,14
2014,630464.8,14
2015,628065.6,14
2016,625666.4,14
2017,623267.2,14
2018,620868,14
1998,595692,15
1999,600859.4,15
2000,606026.8,15
2001,611194.2,15
2002,616361.6,15
2003,621529,15
2004,626696.4,15
2005,631863.8,15
2006,637031.2,15
2007,642198.6,15
2008,647366,15
2009,643004,15
2010,638642,15
2011,634280,15
2012,629918,15
2013,625556,15
2014,621194,15
2015,616832,15
2016,612470,15
2017,608108,15
2018,603746,15
1998,596787,16
1999,603809.6,16
2000,610832.2,16
2001,617854.8,16
2002,624877.4,16
2003,631900,16
2004,638922.6,16
2005,645945.2,16
2006,652967.8,16
2007,659990.4,16
2008,667013,16
2009,659707.2,16
2010,652401.4,16
2011,645095.6,16
2012,637789.8,16
2013,630484,16
2014,623178.2,16
2015,615872.4,16
2016,608566.6,16
2017,601260.8,16
2018,593955,16
1998,607660,17
1999,615143.7,17
2000,622627.4,17
2001,630111.1,17
2002,637594.8,17
2003,645078.5,17
2004,652562.2,17
2005,660045.9,17
2006,667529.6,17
2007,675013.3,17
2008,682497,17
2009,675467.8,17
2010,668438.6,17
2011,661409.4,17
2012,654380.2,17
2013,647351,17
2014,640321.8,17
2015,633292.6,17
2016,626263.4,17
2017,619234.2,17
2018,612205,17
1998,604016,18
1999,610520.2,18
2000,617024.4,18
2001,623528.6,18
2002,630032.8,18
2003,636537,18
2004,643041.2,18
2005,649545.4,18
2006,656049.6,18
2007,662553.8,18
2008,669058,18
2009,665175.8,18
2010,661293.6,18
2011,657411.4,18
2012,653529.2,18
2013,649647,18
2014,645764.8,18
2015,641882.6,18
2016,638000.4,18
2017,634118.2,18
2018,630236,18
1998,580056,19
